TrainNo|TrainIn|TrainOut|Speed|DirIn|DirOut|Duration
1000|1000|1010|90|E|E|00:10
1001|1010|1030|40|W|S|00:20
1002|1015|1030|40|N|N|00:15
1003|1020|1050|60|S|E|00:30
1002|1015|1100|40|E|W|00:45
0110|1000|1001|70|W|N|00:01
2000|1000|1010|60|E|E|00:10
2001|1010|1030|40|W|S|00:20
2002|1015|1030|40|N|N|00:15
2003|1020|1050|60|S|E|00:30
2002|1015|1100|40|E|W|00:45
2110|1000|1001|70|W|N|00:01
3000|1000|1010|60|E|E|00:10
3001|1010|1030|40|W|S|00:20
3002|1015|1030|40|N|N|00:15
3003|1020|1050|60|S|E|00:30
3002|1015|1100|40|E|W|00:45
3110|1000|1001|70|W|N|00:01
4000|1000|1010|60|E|E|00:10
4001|1010|1030|40|W|S|00:20
4002|1015|1030|40|N|N|00:15
4003|1020|1050|60|S|E|00:30
4002|1015|1100|40|E|W|00:45
4110|1000|1001|10|W|N|00:01
5000|1000|1010|60|E|E|00:10
5001|1010|1030|40|W|S|00:20
5002|1015|1030|40|N|N|00:15
5003|1020|1050|60|S|E|00:30
5002|1015|1100|40|E|W|00:45
5110|1000|1001|70|W|N|00:01
